,Highest Offense Description,Family Violence,Occurred Date,Location Type,Zip Code,Latitude,Longitude
401979,BURGLARY OF VEHICLE,N,2019-12-06,PARKING /DROP LOT/ GARAGE,78702,30.26595764,-97.73179895
401981,BURGLARY OF VEHICLE,N,2020-05-24,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.19556758,-97.74764755
402008,FAMILY DISTURBANCE,N,2021-01-15,RESIDENCE / HOME,78705,30.28637077,-97.75056775
402013,FAMILY DISTURBANCE,N,2019-02-11,RESIDENCE / HOME,78745,30.20890317,-97.79850975
402075,CRIMINAL MISCHIEF,N,2021-09-13,HOTEL / MOTEL / ETC.,78759,30.38522713,-97.7402459
402161,FAMILY DISTURBANCE,N,2021-06-15,RESIDENCE / HOME,78744,30.16239707,-97.74402479
402206,BURGLARY OF VEHICLE,N,2019-07-15,RESIDENCE / HOME,78741,30.22899126,-97.72062928
402221,CRIMINAL MISCHIEF,N,2019-08-27,RESIDENCE / HOME,78741,30.23433699,-97.71398508
402222,FAMILY DISTURBANCE,N,2020-07-02,RESIDENCE / HOME,78723,30.31850805,-97.66632489
402223,THEFT,N,2021-01-27,RESIDENCE / HOME,78660,30.39887231,-97.61614354
402333,THEFT,N,2021-07-08,OTHER / UNKNOWN,78704,30.24021327,-97.76362371
402384,BURGLARY OF VEHICLE,N,2020-02-28,RESIDENCE / HOME,78745,30.20526605,-97.78597429
402399,BURGLARY OF VEHICLE,N,2020-01-03,PARKING /DROP LOT/ GARAGE,78757,30.33370624,-97.72188682
402413,BURGLARY OF VEHICLE,N,2020-02-22,PARKING /DROP LOT/ GARAGE,78752,30.32504879,-97.69973484
402415,THEFT,N,2020-04-25,RESIDENCE / HOME,78757,30.35599029,-97.72435025
402432,THEFT,N,2020-08-06,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.23517652,-97.71469083
402441,BURGLARY OF VEHICLE,N,2020-09-12,PARKING /DROP LOT/ GARAGE,78758,30.38041075,-97.71140032
402444,CRIMINAL MISCHIEF,N,2021-09-24,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78735,30.23615772,-97.83980079
402520,THEFT,N,2020-07-31,RESIDENCE / HOME,78705,30.2999016,-97.74031026
402523,CRIMINAL MISCHIEF,N,2021-04-14,PARKING /DROP LOT/ GARAGE,78701,30.27175094,-97.73809103
402524,THEFT,N,2021-02-28,COMMERCIAL / OFFICE BUILDING,78754,30.3342009,-97.66694376
402541,BURGLARY OF VEHICLE,N,2021-12-16,PARKING /DROP LOT/ GARAGE,78704,30.24995208,-97.74994523
402562,CRIMINAL MISCHIEF,N,2019-10-21,RESIDENCE / HOME,78757,30.33870226,-97.73074729
402578,FAMILY DISTURBANCE,N,2020-12-24,RESIDENCE / HOME,78758,30.35483776,-97.70723055
402594,BURGLARY OF VEHICLE,N,2020-04-25,PARKING /DROP LOT/ GARAGE,78731,30.3659152,-97.7872499
402614,CRIMINAL MISCHIEF,N,2020-04-06,PARKING /DROP LOT/ GARAGE,78726,30.43741896,-97.83741836
402692,FAMILY DISTURBANCE,N,2019-05-30,RESIDENCE / HOME,78724,30.28508448,-97.64745079
402762,BURGLARY OF VEHICLE,N,2019-04-18,PARKING /DROP LOT/ GARAGE,78745,30.20033189,-97.76888301
402775,CRIMINAL MISCHIEF,N,2020-03-27,COMMERCIAL / OFFICE BUILDING,78702,30.26457807,-97.70919457
402804,BURGLARY OF VEHICLE,N,2019-02-20,RESIDENCE / HOME,78758,30.37953622,-97.70401382
402810,THEFT,N,2020-05-22,OTHER / UNKNOWN,78746,30.28721108,-97.79205139
402864,BURGLARY OF VEHICLE,N,2019-05-17,PARKING /DROP LOT/ GARAGE,78729,30.45864756,-97.79236176
402963,FAMILY DISTURBANCE,N,2021-07-08,RESIDENCE / HOME,78758,30.37423477,-97.72685106
402967,BURGLARY OF VEHICLE,N,2021-09-10,PARKING /DROP LOT/ GARAGE,78731,30.31872982,-97.77394709
402983,BURGLARY OF VEHICLE,N,2019-09-02,RESIDENCE / HOME,78731,30.35216223,-97.75784426
403012,CRIMINAL MISCHIEF,N,2019-05-26,RESIDENCE / HOME,78721,30.27877743,-97.67195099
403053,THEFT,N,2021-05-24,RESTAURANT,78702,30.26052362,-97.71374355
403076,FAMILY DISTURBANCE,N,2020-08-05,RESIDENCE / HOME,78613,30.47572024,-97.81084584
403080,THEFT,N,2019-01-29,RESIDENCE / HOME,78753,30.3586932,-97.67250828
403133,BURGLARY OF VEHICLE,N,2019-12-27,PARKING /DROP LOT/ GARAGE,78750,30.4459261,-97.78827535
403165,FAMILY DISTURBANCE,N,2019-02-12,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78753,30.37848266,-97.67478231
403186,CRIMINAL MISCHIEF,N,2020-02-20,PARKING /DROP LOT/ GARAGE,78754,30.3342009,-97.66694376
403204,THEFT,N,2019-06-02,RESTAURANT,78701,30.26099113,-97.73738858
403239,FAMILY DISTURBANCE,N,2021-08-21,RESIDENCE / HOME,78745,30.19569519,-97.77618686
403304,BURGLARY OF VEHICLE,N,2020-05-12,PARKING /DROP LOT/ GARAGE,78741,30.22823527,-97.7329449
403307,BURGLARY OF VEHICLE,N,2020-07-24,HOTEL / MOTEL / ETC.,78744,30.21089216,-97.71353781
403311,BURGLARY OF VEHICLE,N,2020-09-02,OTHER / UNKNOWN,78751,30.30743627,-97.72371348
403329,CRIMINAL MISCHIEF,N,2019-12-28,RESIDENCE / HOME,78745,30.21213911,-97.81210475
403350,BURGLARY OF VEHICLE,N,2019-07-27,RESIDENCE / HOME,78748,30.16480611,-97.84156259
403407,BURGLARY OF VEHICLE,N,2019-07-18,PARKING /DROP LOT/ GARAGE,78758,30.39502398,-97.7187031
403418,BURGLARY OF VEHICLE,N,2020-12-11,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78758,30.38798154,-97.70154692
403475,FAMILY DISTURBANCE,N,2020-01-21,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78752,30.33140685,-97.68487489
403477,CRIMINAL MISCHIEF,N,2019-03-17,PARKING /DROP LOT/ GARAGE,78758,30.36561249,-97.71591638
403503,FAMILY DISTURBANCE,N,2021-12-06,RESIDENCE / HOME,78753,30.39295402,-97.67684845
403511,BURGLARY OF VEHICLE,N,2021-09-19,PARKING /DROP LOT/ GARAGE,78741,30.24383446,-97.73453635
403526,FAMILY DISTURBANCE,N,2020-12-25,RESIDENCE / HOME,78753,30.37919393,-97.67300529
403556,FAMILY DISTURBANCE,N,2020-04-12,RESIDENCE / HOME,78759,30.40925577,-97.74318206
403568,FAMILY DISTURBANCE,N,2021-06-15,PARKING /DROP LOT/ GARAGE,78723,30.31693835,-97.70699394
403580,BURGLARY OF VEHICLE,N,2020-09-10,PARKING /DROP LOT/ GARAGE,78756,30.32478881,-97.74122979
403625,CRIMINAL MISCHIEF,N,2019-07-26,RESIDENCE / HOME,78723,30.30714138,-97.66939998
403635,CRIMINAL MISCHIEF,N,2019-07-01,RESTAURANT,78727,30.42458226,-97.74939681
403639,BURGLARY OF VEHICLE,N,2020-05-13,RESIDENCE / HOME,78758,30.37155757,-97.71168225
403786,BURGLARY OF VEHICLE,N,2020-06-20,OTHER / UNKNOWN,78701,30.26800591,-97.73895215
403815,FAMILY DISTURBANCE,N,2019-07-01,RESIDENCE / HOME,78744,30.19510785,-97.74177719
403831,BURGLARY OF VEHICLE,N,2020-07-06,PARKING /DROP LOT/ GARAGE,78758,30.37838129,-97.7131653
403851,CRIMINAL MISCHIEF,N,2019-07-20,RESIDENCE / HOME,78758,30.39679084,-97.72673305
403865,FAMILY DISTURBANCE,N,2019-05-12,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26739396,-97.74037858
403867,THEFT,N,2019-02-07,OTHER / UNKNOWN,78704,30.23428044,-97.74217035
403878,THEFT,N,2021-09-24,COMMERCIAL / OFFICE BUILDING,78759,30.40596504,-97.74557094
403885,FAMILY DISTURBANCE,N,2021-07-01,RESIDENCE / HOME,78753,30.34940853,-97.70239954
403935,BURGLARY OF VEHICLE,N,2019-04-21,PARKING /DROP LOT/ GARAGE,78758,30.40949012,-97.69956669
403967,FAMILY DISTURBANCE,N,2019-02-13,RESIDENCE / HOME,78717,30.48081206,-97.76606831
404074,FAMILY DISTURBANCE,N,2019-12-05,RESIDENCE / HOME,78753,30.39741428,-97.65840567
404078,FAMILY DISTURBANCE,N,2020-05-06,RESIDENCE / HOME,78741,30.22484581,-97.72059573
404090,CRIMINAL MISCHIEF,N,2020-08-09,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78745,30.20045734,-97.82520129
404098,THEFT,N,2021-04-01,OTHER / UNKNOWN,78703,30.27607568,-97.76024495
404117,BURGLARY OF VEHICLE,N,2019-10-06,SHOPPING MALL,78746,30.25788603,-97.80700704
404128,THEFT,N,2019-06-23,CONVENIENCE STORE,78724,30.32851131,-97.65972628
404154,FAMILY DISTURBANCE,N,2019-07-23,RESIDENCE / HOME,78758,30.38477763,-97.69459802
404164,BURGLARY OF VEHICLE,N,2019-05-24,PARKING /DROP LOT/ GARAGE,78723,30.31702008,-97.70333336
404201,CRIMINAL MISCHIEF,N,2021-03-29,PARK / PLAYGROUND,78758,30.3984947,-97.67984008
404232,CRIMINAL MISCHIEF,N,2021-11-16,RESIDENCE / HOME,78758,30.3701762,-97.7080182
404250,THEFT,N,2021-12-09,DEPARTMENT / DISCOUNT STORE,78758,30.40007889,-97.72693605
404256,BURGLARY OF VEHICLE,N,2021-08-06,PARKING /DROP LOT/ GARAGE,78759,30.41735698,-97.74679788
404269,THEFT,N,2019-01-31,RESIDENCE / HOME,78750,30.37371056,-97.79965898
404347,BURGLARY OF VEHICLE,N,2019-11-07,PARKING /DROP LOT/ GARAGE,78759,30.4052898,-97.74345679
404434,BURGLARY OF VEHICLE,N,2020-01-02,RESIDENCE / HOME,78704,30.22898359,-97.76732093
404503,FAMILY DISTURBANCE,N,2019-03-06,RESIDENCE / HOME,78744,30.1943063,-97.74226094
404514,BURGLARY OF VEHICLE,N,2019-01-28,RESIDENCE / HOME,78745,30.21005008,-97.81607949
404591,FAMILY DISTURBANCE,N,2021-10-09,RESIDENCE / HOME,78723,30.31066808,-97.68829387
404607,CRIMINAL MISCHIEF,N,2021-02-20,RESIDENCE / HOME,78750,30.37665326,-97.78119959
404621,THEFT,N,2020-11-22,GROCERY / SUPERMARKET,78745,30.16962853,-97.78711941
404639,BURGLARY OF VEHICLE,N,2021-01-18,COMMERCIAL / OFFICE BUILDING,78758,30.3512601,-97.70940831
404690,THEFT,N,2019-01-02,RESIDENCE / HOME,78758,30.40181568,-97.7047547
404745,BURGLARY OF VEHICLE,N,2020-08-29,RESIDENCE / HOME,78753,30.35019863,-97.68786317
404782,THEFT,N,2020-04-09,RESIDENCE / HOME,78744,30.19029245,-97.74111802
404813,CRIMINAL MISCHIEF,N,2019-02-13,CONVENIENCE STORE,78701,30.26731856,-97.74113787
404918,FAMILY DISTURBANCE,N,2019-08-17,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.27320087,-97.73825168
404946,FAMILY DISTURBANCE,N,2019-03-04,RESIDENCE / HOME,78730,30.35824595,-97.79634193
404954,BURGLARY OF VEHICLE,N,2020-08-18,RESIDENCE / HOME,78741,30.23419073,-97.70402747
404975,THEFT,N,2019-05-18,RESIDENCE / HOME,78751,30.30208873,-97.72799765
404977,BURGLARY OF VEHICLE,N,2021-10-25,PARKING /DROP LOT/ GARAGE,78704,30.26438022,-97.76402921
404980,BURGLARY OF VEHICLE,N,2020-02-03,RESIDENCE / HOME,78753,30.35599757,-97.6974024
405004,THEFT,N,2021-12-15,RESIDENCE / HOME,78721,30.28136338,-97.68525605
405014,BURGLARY OF VEHICLE,N,2021-09-25,PARKING /DROP LOT/ GARAGE,78741,30.23770202,-97.72794185
405016,THEFT,N,2020-01-09,GOVERNMENT / PUBLIC BUILDING,78702,30.25893229,-97.69997951
405035,BURGLARY OF VEHICLE,N,2020-12-11,RESIDENCE / HOME,78752,30.33318717,-97.69879927
405037,BURGLARY OF VEHICLE,N,2020-01-28,RESIDENCE / HOME,78653,30.35730639,-97.60609677
405086,THEFT,N,2020-01-19,RESTAURANT,78757,30.35630375,-97.73043727
405101,FAMILY DISTURBANCE,N,2020-01-28,RESIDENCE / HOME,78727,30.43718079,-97.74280609
405138,CRIMINAL MISCHIEF,N,2020-08-07,RESIDENCE / HOME,78759,30.3861106,-97.76172781
405153,BURGLARY OF VEHICLE,N,2020-04-03,RESIDENCE / HOME,78748,30.16323915,-97.81671636
405160,FAMILY DISTURBANCE,N,2021-12-09,RESIDENCE / HOME,78749,30.20702105,-97.83766822
405168,THEFT,N,2019-08-31,GROCERY / SUPERMARKET,78741,30.23581695,-97.72262067
405169,BURGLARY OF VEHICLE,N,2020-12-25,RESIDENCE / HOME,78757,30.3595405,-97.7231093
405188,FAMILY DISTURBANCE,N,2019-11-12,RESIDENCE / HOME,78703,30.27683882,-97.75976197
405235,FAMILY DISTURBANCE,N,2021-03-17,RESIDENCE / HOME,78703,30.28461682,-97.76127222
405257,BURGLARY OF VEHICLE,N,2020-05-08,RESIDENCE / HOME,78727,30.42092143,-97.70967318
405262,THEFT,N,2021-01-06,RESIDENCE / HOME,78745,30.21865323,-97.79755084
405283,CRIMINAL MISCHIEF,N,2019-01-25,RESIDENCE / HOME,78741,30.22249994,-97.70447557
405290,CRIMINAL MISCHIEF,N,2019-06-09,PARKING /DROP LOT/ GARAGE,78741,30.22935829,-97.72771085
405291,THEFT,N,2021-04-12,BAR / NIGHTCLUB,78701,30.26735144,-97.73909331
405305,BURGLARY OF VEHICLE,N,2019-08-07,RESIDENCE / HOME,78723,30.32047108,-97.68180188
405318,FAMILY DISTURBANCE,N,2021-06-01,RESIDENCE / HOME,78723,30.31909477,-97.69067198
405368,BURGLARY OF VEHICLE,N,2020-10-21,RESIDENCE / HOME,78704,30.23797144,-97.78688224
405405,THEFT,N,2019-11-16,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26706762,-97.73933857
405410,BURGLARY OF VEHICLE,N,2019-01-02,RESIDENCE / HOME,78703,30.29755556,-97.77852114
405418,THEFT,N,2020-03-08,RESIDENCE / HOME,78758,30.36256043,-97.71568839
405427,THEFT,N,2019-02-26,AIR / BUS / TRAIN TERMINAL,78723,30.3041192,-97.70298442
405447,THEFT,N,2019-02-02,DEPARTMENT / DISCOUNT STORE,78613,30.4705168,-97.80651783
405461,BURGLARY OF VEHICLE,N,2021-02-06,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78759,30.40879969,-97.74825231
405470,THEFT,N,2019-03-15,COMMERCIAL / OFFICE BUILDING,78724,30.32636486,-97.65571801
405521,THEFT,N,2019-06-22,CONSTRUCTION SITE,78702,30.26342585,-97.73145528
405561,FAMILY DISTURBANCE,N,2019-11-20,RESIDENCE / HOME,78749,30.21558844,-97.87236006
405564,BURGLARY OF VEHICLE,N,2019-06-05,PARKING /DROP LOT/ GARAGE,78704,30.22111053,-97.75655337
405606,THEFT,N,2021-04-24,RESIDENCE / HOME,78717,30.49234612,-97.79925999
405611,THEFT,N,2021-10-10,BAR / NIGHTCLUB,78701,30.27025454,-97.75005784
405631,BURGLARY OF VEHICLE,N,2021-12-24,RESIDENCE / HOME,78613,30.46678647,-97.81010818
405661,THEFT,N,2019-09-10,OTHER / UNKNOWN,78702,30.25955655,-97.71137458
405681,THEFT,N,2019-03-13,RESTAURANT,78745,30.21377691,-97.82927614
405705,BURGLARY OF VEHICLE,N,2020-02-20,PARKING /DROP LOT/ GARAGE,78757,30.36544654,-97.73861145
405807,BURGLARY OF VEHICLE,N,2021-09-30,HOTEL / MOTEL / ETC.,78744,30.21706458,-97.68934647
405879,FAMILY DISTURBANCE,N,2021-03-31,HOTEL / MOTEL / ETC.,78744,30.21164831,-97.75280945
405884,BURGLARY OF VEHICLE,N,2021-06-15,RESIDENCE / HOME,78745,30.19033586,-97.81201518
405891,FAMILY DISTURBANCE,N,2019-09-03,AIR / BUS / TRAIN TERMINAL,78719,30.20200809,-97.6668813
405895,FAMILY DISTURBANCE,N,2020-09-07,RESIDENCE / HOME,78754,30.40514245,-97.64220521
405915,BURGLARY OF VEHICLE,N,2019-02-10,RESIDENCE / HOME,78739,30.18704815,-97.89892284
405934,THEFT,N,2019-08-23,COMMERCIAL / OFFICE BUILDING,78724,30.32273213,-97.65416389
405977,CRIMINAL MISCHIEF,N,2020-01-20,PARKING /DROP LOT/ GARAGE,78723,30.30552185,-97.66162478
405990,BURGLARY OF VEHICLE,N,2020-01-20,PARKING /DROP LOT/ GARAGE,78757,30.37317697,-97.73001991
406101,THEFT,N,2020-07-28,RESTAURANT,78758,30.35854178,-97.71567059
406105,FAMILY DISTURBANCE,N,2019-08-16,RESIDENCE / HOME,78703,30.28133318,-97.76512442
406133,CRIMINAL MISCHIEF,N,2020-06-20,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.22891682,-97.70690439
406195,CRIMINAL MISCHIEF,N,2019-04-10,PARKING /DROP LOT/ GARAGE,78744,30.18724886,-97.70635594
406207,FAMILY DISTURBANCE,N,2020-12-14,RESIDENCE / HOME,78745,30.21387592,-97.78176351
406210,THEFT,N,2020-10-15,RESIDENCE / HOME,78749,30.23211212,-97.83980389
406211,FAMILY DISTURBANCE,N,2019-07-12,RESIDENCE / HOME,78745,30.1870381,-97.78036378
406238,BURGLARY OF VEHICLE,N,2020-01-22,PARKING /DROP LOT/ GARAGE,78731,30.36056655,-97.78964288
406265,FAMILY DISTURBANCE,N,2020-03-10,RESIDENCE / HOME,78723,30.30897125,-97.66138029
406276,THEFT,N,2021-04-21,RESIDENCE / HOME,78729,30.44699194,-97.7768607
406305,FAMILY DISTURBANCE,N,2019-09-14,RESIDENCE / HOME,78758,30.39822124,-97.70356136
406337,FAMILY DISTURBANCE,N,2020-04-08,PARKING /DROP LOT/ GARAGE,78741,30.23146495,-97.72122433
406338,CRIMINAL MISCHIEF,N,2020-07-19,RESIDENCE / HOME,78727,30.42547595,-97.68103325
406340,FAMILY DISTURBANCE,N,2020-08-03,RESIDENCE / HOME,78747,30.16035208,-97.7443581
406353,CRIMINAL MISCHIEF,N,2019-11-23,RESIDENCE / HOME,78724,30.30142267,-97.64132869
406360,BURGLARY OF VEHICLE,N,2019-12-06,RESIDENCE / HOME,78758,30.38072071,-97.70759472
406481,THEFT,N,2021-12-22,DEPARTMENT / DISCOUNT STORE,78724,30.28552846,-97.64567005
406486,BURGLARY OF VEHICLE,N,2019-01-07,RESIDENCE / HOME,78752,30.3453925,-97.70787773
406490,THEFT,N,2020-03-15,RESIDENCE / HOME,78751,30.30046387,-97.71965158
406491,FAMILY DISTURBANCE,N,2019-11-28,RESIDENCE / HOME,78749,30.21459799,-97.83371675
406505,FAMILY DISTURBANCE,N,2020-06-06,RESIDENCE / HOME,78741,30.22438247,-97.72917527
406523,BURGLARY OF VEHICLE,N,2019-06-19,PARKING /DROP LOT/ GARAGE,78758,30.36948655,-97.69959977
406538,FAMILY DISTURBANCE,N,2021-06-11,HOTEL / MOTEL / ETC.,78704,30.24748074,-97.75014123
406544,BURGLARY OF VEHICLE,N,2021-05-30,RESIDENCE / HOME,78702,30.2564655,-97.72513546
406582,CRIMINAL MISCHIEF,N,2019-03-12,PARKING /DROP LOT/ GARAGE,78741,30.23310353,-97.71944111
406620,FAMILY DISTURBANCE,N,2020-06-09,RESIDENCE / HOME,78731,30.35160957,-97.76059264
406668,BURGLARY OF VEHICLE,N,2019-08-30,PARKING /DROP LOT/ GARAGE,78739,30.18855861,-97.86948061
406683,CRIMINAL MISCHIEF,N,2021-12-17,PARKING /DROP LOT/ GARAGE,78748,30.16291061,-97.79312325
406690,CRIMINAL MISCHIEF,N,2020-07-16,RESIDENCE / HOME,78758,30.4067901,-97.69786669
406737,THEFT,N,2021-06-24,RESIDENCE / HOME,78745,30.19607204,-97.79304605
406751,THEFT,N,2021-06-21,PARKING /DROP LOT/ GARAGE,78752,30.33278091,-97.7050027
406766,FAMILY DISTURBANCE,N,2021-01-17,RESIDENCE / HOME,78723,30.31852904,-97.70341904
406795,BURGLARY OF VEHICLE,N,2020-10-01,RESIDENCE / HOME,78752,30.33818428,-97.70199855
406816,THEFT,N,2019-10-06,OTHER / UNKNOWN,78701,30.27020584,-97.74968842
406828,FAMILY DISTURBANCE,N,2021-07-14,RESIDENCE / HOME,78744,30.19532645,-97.75888427
406845,BURGLARY OF VEHICLE,N,2020-02-01,PARKING /DROP LOT/ GARAGE,78723,30.31639292,-97.70614651
407048,CRIMINAL MISCHIEF,N,2020-08-18,PARKING /DROP LOT/ GARAGE,78717,30.47939973,-97.79936874
407058,FAMILY DISTURBANCE,N,2020-01-25,RESIDENCE / HOME,78745,30.20698149,-97.79521637
407083,CRIMINAL MISCHIEF,N,2020-07-15,PARKING /DROP LOT/ GARAGE,78754,30.37925879,-97.65326272
407090,BURGLARY OF VEHICLE,N,2021-12-14,RESIDENCE / HOME,78701,30.26020456,-97.73793249
407101,BURGLARY OF VEHICLE,N,2019-01-16,PARKING /DROP LOT/ GARAGE,78704,30.23370295,-97.79380778
407126,THEFT,N,2021-02-06,HOTEL / MOTEL / ETC.,78701,30.26818284,-97.74103545
407128,FAMILY DISTURBANCE,N,2019-08-10,RESIDENCE / HOME,78745,30.20758268,-97.81857882
407141,THEFT,N,2021-10-31,COMMERCIAL / OFFICE BUILDING,78723,30.30903092,-97.70846442
407160,FAMILY DISTURBANCE,N,2021-06-11,PARKING /DROP LOT/ GARAGE,78758,30.36561249,-97.71591638
407172,FAMILY DISTURBANCE,N,2020-09-30,RESIDENCE / HOME,78724,30.2866024,-97.66230692
407180,THEFT,N,2021-09-26,BAR / NIGHTCLUB,78701,30.26733296,-97.73899558
407199,FAMILY DISTURBANCE,N,2019-11-15,RESIDENCE / HOME,78752,30.32864036,-97.69677063
407220,BURGLARY OF VEHICLE,N,2019-11-22,PARKING /DROP LOT/ GARAGE,78746,30.26511035,-97.78157225
407224,THEFT,N,2020-02-10,SERVICE/ GAS STATION,78704,30.24417916,-97.78233443
407229,FAMILY DISTURBANCE,N,2019-07-29,RESIDENCE / HOME,78751,30.31935221,-97.73014061
407238,FAMILY DISTURBANCE,N,2019-05-21,PARKING /DROP LOT/ GARAGE,78758,30.41248349,-97.70685965
407276,CRIMINAL MISCHIEF,N,2020-06-27,RESIDENCE / HOME,78748,30.1573787,-97.79972811
407277,FAMILY DISTURBANCE,N,2021-02-06,RESIDENCE / HOME,78754,30.40514245,-97.64220521
407281,FAMILY DISTURBANCE,N,2019-07-14,HOTEL / MOTEL / ETC.,78753,30.37472968,-97.6768366
407320,BURGLARY OF VEHICLE,N,2019-10-04,PARKING /DROP LOT/ GARAGE,78754,30.38880625,-97.6448883
407323,CRIMINAL MISCHIEF,N,2021-10-10,PARKING /DROP LOT/ GARAGE,78758,30.35342707,-97.70885463
407339,THEFT,N,2020-05-05,HOTEL / MOTEL / ETC.,78730,30.39264765,-97.84737797
407397,CRIMINAL MISCHIEF,N,2021-03-28,RESIDENCE / HOME,78751,30.29833266,-97.72858398
407438,FAMILY DISTURBANCE,N,2019-01-20,RESIDENCE / HOME,78759,30.36620826,-97.74364038
407472,BURGLARY OF VEHICLE,N,2019-09-30,RENTAL STORAGE FACILITY,78753,30.36541549,-97.68448335
407476,THEFT,N,2019-02-14,RESIDENCE / HOME,78704,30.23937621,-97.78892628
407485,THEFT,N,2020-07-23,BAR / NIGHTCLUB,78701,30.26776378,-97.74057777
407527,THEFT,N,2020-10-19,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78759,30.41203904,-97.74018154
407563,CRIMINAL MISCHIEF,N,2020-02-03,RESIDENCE / HOME,78745,30.21469515,-97.76509742
407586,CRIMINAL MISCHIEF,N,2020-09-19,PARKING /DROP LOT/ GARAGE,78757,30.37317697,-97.73001991
407668,FAMILY DISTURBANCE,N,2019-10-03,RESIDENCE / HOME,78653,30.35174833,-97.6065108
407681,THEFT,N,2020-10-08,AIR / BUS / TRAIN TERMINAL,78748,30.16548757,-97.78952006
407691,CRIMINAL MISCHIEF,N,2021-03-03,RESIDENCE / HOME,78748,30.18314364,-97.81745473
407702,FAMILY DISTURBANCE,N,2021-05-09,RESIDENCE / HOME,78741,30.23597678,-97.71859048
407716,FAMILY DISTURBANCE,N,2021-05-07,RESIDENCE / HOME,78741,30.23504136,-97.71359538
407727,BURGLARY OF VEHICLE,N,2019-07-02,PARKING /DROP LOT/ GARAGE,78704,30.26153258,-97.7729065
407802,BURGLARY OF VEHICLE,N,2019-07-22,PARKING /DROP LOT/ GARAGE,78741,30.22253274,-97.7423905
407840,BURGLARY OF VEHICLE,N,2019-10-27,PARKING /DROP LOT/ GARAGE,78717,30.47705492,-97.7898313
407848,THEFT,N,2019-12-20,RESIDENCE / HOME,78741,30.24193734,-97.72360824
407865,FAMILY DISTURBANCE,N,2021-06-16,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78724,30.3190283,-97.65763354
407893,THEFT,N,2020-11-23,SPECIALTY  STORE,78717,30.47939973,-97.79936874
407908,THEFT,N,2019-09-07,HOTEL / MOTEL / ETC.,78753,30.34522817,-97.69705295
407913,FAMILY DISTURBANCE,N,2020-10-17,OTHER / UNKNOWN,78723,30.29930666,-97.67369234
407918,FAMILY DISTURBANCE,N,2020-05-26,RESIDENCE / HOME,78717,30.48159029,-97.79261397
407942,FAMILY DISTURBANCE,N,2019-09-06,RESIDENCE / HOME,78745,30.20375416,-97.76590757
407983,FAMILY DISTURBANCE,N,2019-11-18,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.31954402,-97.70328992
407987,FAMILY DISTURBANCE,N,2021-03-07,RESIDENCE / HOME,78617,30.17838058,-97.61759833
408012,CRIMINAL MISCHIEF,N,2020-04-26,PARKING /DROP LOT/ GARAGE,78701,30.26851285,-97.7504308
408054,THEFT,N,2020-02-19,CONSTRUCTION SITE,78704,30.25263735,-97.74781101
408067,THEFT,N,2019-11-09,RESTAURANT,78758,30.40273819,-97.7238086
408190,BURGLARY OF VEHICLE,N,2020-11-16,PARKING /DROP LOT/ GARAGE,78723,30.29720616,-97.7073439
408228,THEFT,N,2020-03-02,PARKING /DROP LOT/ GARAGE,78758,30.36276408,-97.69796598
408276,FAMILY DISTURBANCE,N,2020-04-20,RESIDENCE / HOME,78724,30.2943082,-97.62687156
408277,FAMILY DISTURBANCE,N,2019-12-08,OTHER / UNKNOWN,78741,30.21945488,-97.68855897
408320,BURGLARY OF VEHICLE,N,2019-05-16,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.27751116,-97.72283981
408339,FAMILY DISTURBANCE,N,2020-12-16,RESIDENCE / HOME,78753,30.36631822,-97.68477891
408351,THEFT,N,2021-07-29,RESIDENCE / HOME,78752,30.33566576,-97.70727047
408390,THEFT,N,2019-01-23,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,78758,30.41302414,-97.69126076
408393,THEFT,N,2019-03-22,RESIDENCE / HOME,78758,30.40168382,-97.72673719
408437,THEFT,N,2020-12-17,GROCERY / SUPERMARKET,78749,30.20259804,-97.87675015
408438,CRIMINAL MISCHIEF,N,2020-04-24,RESIDENCE / HOME,78753,30.39284616,-97.65894803
408465,BURGLARY OF VEHICLE,N,2021-08-10,RESIDENCE / HOME,78723,30.31359621,-97.70388633
408483,FAMILY DISTURBANCE,N,2019-12-17,RESIDENCE / HOME,78744,30.19590924,-97.7373484
408498,BURGLARY OF VEHICLE,N,2019-02-22,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78704,30.23913728,-97.74692126
408522,BURGLARY OF VEHICLE,N,2020-05-03,RESIDENCE / HOME,78727,30.42088739,-97.72297451
