,Highest Offense Description,Family Violence,Occurred Date,Location Type,Zip Code,Latitude,Longitude
635318,FAMILY DISTURBANCE,N,2021-01-20,RESIDENCE / HOME,78701,30.26438581,-97.74340598
635333,THEFT,N,2019-10-09,RESIDENCE / HOME,78727,30.42092143,-97.70967318
635360,FAMILY DISTURBANCE,N,2020-12-06,RESIDENCE / HOME,78758,30.37065386,-97.71969052
635392,CRIMINAL MISCHIEF,N,2019-10-28,PARKING /DROP LOT/ GARAGE,78759,30.38806936,-97.73771715
635396,BURGLARY OF VEHICLE,N,2020-09-19,HOTEL / MOTEL / ETC.,78759,30.39836571,-97.73400063
635404,THEFT,N,2019-05-17,GROCERY / SUPERMARKET,78758,30.36499057,-97.69790197
635439,FAMILY DISTURBANCE,N,2020-05-15,RESIDENCE / HOME,78753,30.39438783,-97.67065387
635514,THEFT,N,2019-06-24,RESIDENCE / HOME,78741,30.2195316,-97.69908702
635571,BURGLARY OF VEHICLE,N,2020-03-31,PARKING /DROP LOT/ GARAGE,78704,30.22518724,-97.76192687
635587,BURGLARY OF VEHICLE,N,2019-01-02,OTHER / UNKNOWN,78753,30.3786513,-97.67973898
635597,THEFT,N,2019-11-10,SERVICE/ GAS STATION,78723,30.31863417,-97.7066688
635616,THEFT,N,2020-12-16,RENTAL STORAGE FACILITY,78704,30.22221713,-97.76097983
635628,BURGLARY OF VEHICLE,N,2021-11-27,RESIDENCE / HOME,78757,30.35174199,-97.74516725
635629,FAMILY DISTURBANCE,N,2021-02-23,RESIDENCE / HOME,78744,30.1670311,-97.78498804
635740,FAMILY DISTURBANCE,N,2020-10-06,RESIDENCE / HOME,78741,30.22823746,-97.73508588
635745,FAMILY DISTURBANCE,N,2019-05-07,RESIDENCE / HOME,78731,30.32767701,-97.77079927
635764,THEFT,N,2021-08-02,GROCERY / SUPERMARKET,78732,30.40340966,-97.85491849
635778,FAMILY DISTURBANCE,N,2020-11-26,RESIDENCE / HOME,78723,30.31990868,-97.70430715
635783,FAMILY DISTURBANCE,N,2020-11-06,RESIDENCE / HOME,78717,30.48543794,-97.77170565
635803,THEFT,N,2020-01-16,SPECIALTY  STORE,78753,30.36854931,-97.69307549
635831,THEFT,N,2021-12-30,PARKING /DROP LOT/ GARAGE,78723,30.31639292,-97.70614651
635846,BURGLARY OF VEHICLE,N,2020-01-23,COMMERCIAL / OFFICE BUILDING,78702,30.26176673,-97.72222947
635860,CRIMINAL MISCHIEF,N,2019-10-23,OTHER / UNKNOWN,78702,30.2609741,-97.7347847
635908,BURGLARY OF VEHICLE,N,2020-03-27,PARK / PLAYGROUND,78749,30.20229006,-97.88551274
635922,CRIMINAL MISCHIEF,N,2020-08-06,COMMERCIAL / OFFICE BUILDING,78744,30.21123773,-97.72291763
635944,FAMILY DISTURBANCE,N,2021-11-28,RESIDENCE / HOME,78726,30.43660791,-97.83065335
635948,THEFT,N,2021-01-21,RESIDENCE / HOME,78705,30.28632431,-97.75003658
635994,FAMILY DISTURBANCE,N,2020-07-15,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78724,30.31093822,-97.65836823
636032,FAMILY DISTURBANCE,N,2021-01-18,RESIDENCE / HOME,78744,30.16539856,-97.7387725
636069,THEFT,N,2019-01-21,OTHER / UNKNOWN,78741,30.24518463,-97.73032488
636099,BURGLARY OF VEHICLE,N,2021-01-05,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78705,30.29188705,-97.7231007
636145,BURGLARY OF VEHICLE,N,2019-06-04,RESIDENCE / HOME,78704,30.24424802,-97.75472906
636160,FAMILY DISTURBANCE,N,2021-04-03,RESIDENCE / HOME,78617,30.16952937,-97.62043001
636170,THEFT,N,2021-01-24,BAR / NIGHTCLUB,78701,30.2605365,-97.73843366
636223,THEFT,N,2021-09-07,RESIDENCE / HOME,78754,30.40514245,-97.64220521
636247,BURGLARY OF VEHICLE,N,2019-07-05,OTHER / UNKNOWN,78753,30.41554675,-97.6747724
636270,FAMILY DISTURBANCE,N,2021-08-19,RESIDENCE / HOME,78759,30.4104375,-97.74504471
636333,FAMILY DISTURBANCE,N,2019-04-15,RESIDENCE / HOME,78721,30.28111486,-97.70216623
636345,FAMILY DISTURBANCE,N,2020-08-17,RESIDENCE / HOME,78704,30.25862324,-97.77844245
636347,CRIMINAL MISCHIEF,N,2021-11-10,PARKING /DROP LOT/ GARAGE,78741,30.23783528,-97.71317116
636352,BURGLARY OF VEHICLE,N,2021-07-14,RESIDENCE / HOME,78741,30.22935819,-97.72621907
636355,CRIMINAL MISCHIEF,N,2019-03-01,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.26242009,-97.73515766
636375,FAMILY DISTURBANCE,N,2020-12-06,RESIDENCE / HOME,78723,30.31955402,-97.68880164
636400,CRIMINAL MISCHIEF,N,2021-04-15,PARKING /DROP LOT/ GARAGE,78744,30.20524252,-97.75566255
636401,THEFT,N,2019-11-06,GROCERY / SUPERMARKET,78704,30.2200027,-97.75439457
636413,THEFT,N,2020-07-07,OTHER / UNKNOWN,78741,30.23256094,-97.73196691
636426,BURGLARY OF VEHICLE,N,2019-01-16,RESIDENCE / HOME,78757,30.33880094,-97.74527028
636470,BURGLARY OF VEHICLE,N,2019-07-17,RESIDENCE / HOME,78741,30.24391457,-97.72737827
636502,THEFT,N,2019-11-08,COMMERCIAL / OFFICE BUILDING,78753,30.33915243,-97.69116575
636549,BURGLARY OF VEHICLE,N,2019-08-12,PARKING /DROP LOT/ GARAGE,78741,30.22437874,-97.74486515
636554,THEFT,N,2019-10-18,OTHER / UNKNOWN,78702,30.27658123,-97.7297191
636612,THEFT,N,2019-04-19,RESTAURANT,78704,30.25465421,-97.7627515
636639,CRIMINAL MISCHIEF,N,2020-12-02,PARKING /DROP LOT/ GARAGE,78741,30.21945488,-97.68855897
636652,FAMILY DISTURBANCE,N,2021-06-28,RESIDENCE / HOME,78752,30.32925327,-97.69127198
636668,BURGLARY OF VEHICLE,N,2021-05-27,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.23788259,-97.69804796
636674,BURGLARY OF VEHICLE,N,2019-07-08,RESIDENCE / HOME,78705,30.28848239,-97.74549125
636694,BURGLARY OF VEHICLE,N,2021-09-14,PARKING /DROP LOT/ GARAGE,78757,30.33992591,-97.74895637
636716,FAMILY DISTURBANCE,N,2019-11-29,RESIDENCE / HOME,78744,30.17860309,-97.75580336
636754,FAMILY DISTURBANCE,N,2021-11-15,RESIDENCE / HOME,78753,30.38979111,-97.65120601
636796,CRIMINAL MISCHIEF,N,2020-09-27,RESIDENCE / HOME,78758,30.36917195,-97.71701874
636807,THEFT,N,2020-01-08,RESIDENCE / HOME,78746,30.33446623,-97.80132692
636820,BURGLARY OF VEHICLE,N,2019-12-29,PARKING /DROP LOT/ GARAGE,78701,30.28047275,-97.74723023
636853,FAMILY DISTURBANCE,N,2020-03-20,RESIDENCE / HOME,78752,30.34064472,-97.7159184
636854,BURGLARY OF VEHICLE,N,2021-01-19,PARKING /DROP LOT/ GARAGE,78759,30.42473686,-97.75667623
636907,THEFT,N,2019-12-10,COMMERCIAL / OFFICE BUILDING,78719,30.20769487,-97.66261093
636924,BURGLARY OF VEHICLE,N,2019-06-01,PARKING /DROP LOT/ GARAGE,78759,30.40943014,-97.71868998
636929,FAMILY DISTURBANCE,N,2021-04-07,RESIDENCE / HOME,78617,30.17227752,-97.61151488
636957,CRIMINAL MISCHIEF,N,2021-09-17,PARKING /DROP LOT/ GARAGE,78745,30.19301239,-97.77887935
636967,THEFT,N,2019-12-18,DEPARTMENT / DISCOUNT STORE,78753,30.33915243,-97.69116575
637015,CRIMINAL MISCHIEF,N,2021-08-05,RESIDENCE / HOME,78751,30.3087751,-97.71330228
637040,FAMILY DISTURBANCE,N,2020-09-03,RESIDENCE / HOME,78758,30.37025069,-97.71718296
637048,FAMILY DISTURBANCE,N,2019-01-25,RESIDENCE / HOME,78660,30.43270871,-97.66930949
637096,FAMILY DISTURBANCE,N,2021-01-12,RESIDENCE / HOME,78702,30.27039381,-97.70711947
637109,THEFT,N,2020-06-20,COMMERCIAL / OFFICE BUILDING,78727,30.41800594,-97.69946412
637117,THEFT,N,2019-10-08,PARKING /DROP LOT/ GARAGE,78753,30.39295402,-97.67684845
637142,CRIMINAL MISCHIEF,N,2019-10-16,COMMERCIAL / OFFICE BUILDING,78748,30.17408711,-97.82222335
637248,BURGLARY OF VEHICLE,N,2020-02-10,RESIDENCE / HOME,78753,30.35926748,-97.69685316
637313,FAMILY DISTURBANCE,N,2019-01-22,PARKING /DROP LOT/ GARAGE,78723,30.30787716,-97.66999779
637315,BURGLARY OF VEHICLE,N,2021-02-09,PARKING /DROP LOT/ GARAGE,78748,30.15613523,-97.7923582
637338,FAMILY DISTURBANCE,N,2021-12-15,RESIDENCE / HOME,78741,30.23729063,-97.69387662
637371,BURGLARY OF VEHICLE,N,2020-03-28,RESIDENCE / HOME,78717,30.47779077,-97.77178199
637395,FAMILY DISTURBANCE,N,2021-10-09,RESIDENCE / HOME,78724,30.30146101,-97.64446561
637398,CRIMINAL MISCHIEF,N,2019-12-13,GOVERNMENT / PUBLIC BUILDING,78723,30.28663236,-97.68016759
637427,BURGLARY OF VEHICLE,N,2019-08-12,OTHER / UNKNOWN,78748,30.17026772,-97.80173567
637445,CRIMINAL MISCHIEF,N,2019-05-04,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78758,30.40168382,-97.72673719
637536,CRIMINAL MISCHIEF,N,2021-09-14,RESIDENCE / HOME,78723,30.31588897,-97.67808242
637563,BURGLARY OF VEHICLE,N,2019-05-19,PARKING /DROP LOT/ GARAGE,78701,30.27108005,-97.74871444
637585,CRIMINAL MISCHIEF,N,2021-03-28,RESTAURANT,78750,30.4465833,-97.7889627
637620,BURGLARY OF VEHICLE,N,2019-05-16,RESIDENCE / HOME,78758,30.35843636,-97.70352656
637663,FAMILY DISTURBANCE,N,2020-08-08,RESIDENCE / HOME,78741,30.23258831,-97.72209348
637673,THEFT,N,2020-08-20,COMMERCIAL / OFFICE BUILDING,78701,30.26933314,-97.74269975
637679,CRIMINAL MISCHIEF,N,2020-05-11,RESIDENCE / HOME,78758,30.38170035,-97.69408266
637709,BURGLARY OF VEHICLE,N,2019-05-30,PARKING /DROP LOT/ GARAGE,78759,30.40009239,-97.73995396
637719,FAMILY DISTURBANCE,N,2020-01-23,RESIDENCE / HOME,78745,30.21753578,-97.79390032
637757,FAMILY DISTURBANCE,N,2021-12-14,RESIDENCE / HOME,78617,30.22110956,-97.67151624
637767,BURGLARY OF VEHICLE,N,2020-03-13,RESIDENCE / HOME,78753,30.41432096,-97.67840164
637782,BURGLARY OF VEHICLE,N,2021-02-02,PARKING /DROP LOT/ GARAGE,78741,30.24518463,-97.73032488
637839,THEFT,N,2019-12-07,CONSTRUCTION SITE,78702,30.26621233,-97.70345321
637850,CRIMINAL MISCHIEF,N,2021-08-28,RESIDENCE / HOME,78758,30.38508472,-97.68507558
637866,FAMILY DISTURBANCE,N,2020-03-25,RESIDENCE / HOME,78744,30.18334876,-97.75970042
637879,BURGLARY OF VEHICLE,N,2020-06-08,PARKING /DROP LOT/ GARAGE,78753,30.35393856,-97.68583557
637909,THEFT,N,2020-05-06,RESIDENCE / HOME,78753,30.3691607,-97.68404427
637948,FAMILY DISTURBANCE,N,2019-05-13,RESIDENCE / HOME,78745,30.20884343,-97.78579763
638002,BURGLARY OF VEHICLE,N,2020-07-05,RESIDENCE / HOME,78741,30.2203459,-97.69842825
638007,FAMILY DISTURBANCE,N,2019-01-26,RESIDENCE / HOME,78753,30.37919393,-97.67300529
638045,FAMILY DISTURBANCE,N,2020-08-28,RESIDENCE / HOME,78721,30.28308696,-97.67976116
638050,BURGLARY OF VEHICLE,N,2020-04-18,PARKING /DROP LOT/ GARAGE,78746,30.26776379,-97.76790612
638053,FAMILY DISTURBANCE,N,2020-04-01,RESIDENCE / HOME,78745,30.1870381,-97.78036378
638055,BURGLARY OF VEHICLE,N,2019-05-19,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.26342355,-97.72728259
638071,FAMILY DISTURBANCE,N,2020-05-13,RESIDENCE / HOME,78744,30.18854871,-97.7645862
638087,THEFT,N,2020-09-28,OTHER / UNKNOWN,78705,30.28473983,-97.74961313
638124,THEFT,N,2020-09-29,OTHER / UNKNOWN,78704,30.25958739,-97.74780866
638126,BURGLARY OF VEHICLE,N,2019-09-16,PARKING /DROP LOT/ GARAGE,78758,30.40133716,-97.72416064
638128,THEFT,N,2020-07-18,OTHER / UNKNOWN,78729,30.44733663,-97.78589857
638209,THEFT,N,2019-07-21,RESIDENCE / HOME,78704,30.25369584,-97.76406007
638210,THEFT,N,2019-10-25,DEPARTMENT / DISCOUNT STORE,78753,30.41358272,-97.67568972
638265,THEFT,N,2020-05-16,RESIDENCE / HOME,78702,30.2569974,-97.7300571
638266,THEFT,N,2021-05-21,RESTAURANT,78758,30.39065205,-97.72267632
638292,BURGLARY OF VEHICLE,N,2019-04-25,PARKING /DROP LOT/ GARAGE,78701,30.26671375,-97.74700312
638342,CRIMINAL MISCHIEF,N,2021-09-13,RESIDENCE / HOME,78721,30.2811398,-97.68109496
638359,BURGLARY OF VEHICLE,N,2021-12-11,COMMERCIAL / OFFICE BUILDING,78741,30.23820927,-97.72624303
638369,FAMILY DISTURBANCE,N,2019-12-31,RESIDENCE / HOME,78744,30.19978842,-97.73442617
638370,THEFT,N,2020-05-29,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,78745,30.22903129,-97.80178212
638376,FAMILY DISTURBANCE,N,2019-01-30,RESIDENCE / HOME,78746,30.25858957,-97.78766592
638379,BURGLARY OF VEHICLE,N,2020-01-05,PARKING /DROP LOT/ GARAGE,78759,30.41098638,-97.74471265
638404,BURGLARY OF VEHICLE,N,2019-07-10,RESIDENCE / HOME,78704,30.26438022,-97.76402921
638433,FAMILY DISTURBANCE,N,2021-12-22,RESIDENCE / HOME,78748,30.17212467,-97.79717642
638443,BURGLARY OF VEHICLE,N,2019-06-05,RESIDENCE / HOME,78744,30.19943183,-97.73366002
638457,CRIMINAL MISCHIEF,N,2020-11-07,PARKING /DROP LOT/ GARAGE,78701,30.26806777,-97.73684658
638510,BURGLARY OF VEHICLE,N,2020-12-15,RESIDENCE / HOME,78702,30.25720842,-97.72866692
638517,BURGLARY OF VEHICLE,N,2020-06-01,PARKING /DROP LOT/ GARAGE,78751,30.30329922,-97.73343268
